City,State,Hotel_Name,Price_Per_Night_INR,Rating,Num_Reviews,Address,Source_URL
Mumbai,Maharashtra,"The Taj Mahal Palace, Mumbai",22000,4.6,1004,"Apollo Bandar, Colaba, Mumbai",https://www.tajhotels.com/en-in/hotels/taj-mahal-palace-mumbai
Mumbai,Maharashtra,"The Oberoi, Mumbai",20000,4.8,1999,"Nariman Point, Mumbai",https://www.oberoihotels.com/hotels-in-mumbai/
Mumbai,Maharashtra,"The St. Regis, Mumbai",18000,4.6,2500,"Lower Parel, Mumbai",https://www.marriott.com/en-us/hotels/bomxr-the-st-regis-mumbai/overview/
New Delhi,Delhi,"The Taj Mahal Hotel, New Delhi",20000,4.7,2200,"Taj Mansingh Marg, New Delhi",https://www.booking.com/hotel/in/the-taj-mahal-new-delhi.html
New Delhi,Delhi,The Leela Palace New Delhi,18000,4.6,3500,"Chanakyapuri, New Delhi",https://www.theleela.com/the-leela-palace-new-delhi/
New Delhi,Delhi,"ITC Maurya, a Luxury Collection Hotel, New Delhi",15000,4.5,8000,"Sardar Patel Marg, Diplomatic Enclave, New Delhi",https://www.itchotels.in/hotels/itcmaurya-newdelhi.html
Goa,Goa,"Taj Exotica Resort & Spa, Benaulim",16000,4.5,4200,"Benaulim, Salcete, Goa",https://www.tajhotels.com/en-in/taj/taj-exotica-goa/
Goa,Goa,"W Goa, Vagator",15000,4.4,3000,"Vagator, North Goa",https://www.marriott.com/en-us/hotels/goiwh-w-goa/overview/
Goa,Goa,Alila Diwa Goa,12000,4.5,2500,"Majorda, South Goa",https://www.alilahotels.com/diwa-goa
Visakhapatnam,Andhra Pradesh,The Park Visakhapatnam,6000,4.1,1500,"RK Beach Road, Visakhapatnam",https://www.theparkhotels.com/hotel/the-park-visakhapatnam/
Visakhapatnam,Andhra Pradesh,Novotel Visakhapatnam Varun Beach,7000,4.2,2100,"Beach Road, Visakhapatnam",https://www.accorhotels.com/gb/hotel-8486-novotel-visakhapatnam-varuna-beach/index.shtml
Visakhapatnam,Andhra Pradesh,Ginger Vizag,2500,3.9,800,"MVP Colony / Beach Road, Visakhapatnam",https://www.gingerhotels.com/
Bengaluru,Karnataka,"Taj West End, Bengaluru",14000,4.6,1800,"Race Course Road, Bengaluru",https://www.tajhotels.com/en-in/taj/taj-west-end-bengaluru/
Bengaluru,Karnataka,The Leela Palace Bengaluru,15000,4.6,1600,"Old Airport Road, Bengaluru",https://www.theleela.com/the-leela-palace-bengaluru/
Bengaluru,Karnataka,ITC Windsor,9000,4.4,1200,"Race Course Road, Bengaluru",https://www.itchotels.com/itcwindsor
Chennai,Tamil Nadu,"Taj Coromandel, Chennai",9000,4.5,2100,"Nungambakkam, Chennai",https://www.tajhotels.com/en-in/taj/taj-coromandel-chennai/
Chennai,Tamil Nadu,"ITC Grand Chola, Chennai",10000,4.5,4000,"Guindy, Chennai",https://www.itchotels.com/itcgrandchola
Kolkata,West Bengal,The Oberoi Grand Kolkata,12000,4.5,2000,"Jawaharlal Nehru Road, Kolkata",https://www.oberoihotels.com/hotels-in-kolkata/
Kolkata,West Bengal,Taj Bengal Kolkata,10000,4.4,1800,"Ballygunge, Kolkata",https://www.tajhotels.com/en-in/taj/taj-bengal-kolkata/
Hyderabad,Telangana,"Taj Falaknuma Palace, Hyderabad",30000,4.6,2400,"Falaknuma, Hyderabad",https://www.tajhotels.com/en-in/taj/taj-falaknuma-palace-hyderabad/
Hyderabad,Telangana,Park Hyatt Hyderabad,12000,4.4,1500,"Banjara Hills, Hyderabad",https://www.hyatt.com/en-US/hotel/india/park-hyatt-hyderabad/hydph
Jaipur,Rajasthan,"Rambagh Palace, Jaipur",25000,4.7,1400,"Bhawani Singh Road, Jaipur",https://www.tajhotels.com/en-in/taj/rambagh-palace-jaipur/
Jaipur,Rajasthan,Trident Jaipur,6000,4.3,2300,"Tonk Road, Jaipur",https://www.tridenthotels.com/jaipur
Agra,Uttar Pradesh,"ITC Mughal, Agra",9000,4.5,1900,"Taj Ganj, Agra",https://www.itchotels.com/itcmughalagra
Agra,Uttar Pradesh,"The Oberoi Amarvilas, Agra",28000,4.8,2300,"Taj East Gate Road, Agra",https://www.oberoihotels.com/hotels-in-agra/oberoi-amarvilas/
