City,State,Category,Attraction,Description,Best_Time,Activities
Mumbai,Maharashtra,Monument,Gateway of India,Iconic waterfront arch monument,Nov-Feb,Sightseeing; Ferry ride
Mumbai,Maharashtra,Beach,Juhu Beach,Popular city beach with street food,Nov-Feb,Beach walk; Food tasting
Delhi,Delhi,Monument,Red Fort,Historic Mughal fort in Old Delhi,Oct-Mar,Fort tour; Light & sound show
Agra,Uttar Pradesh,Monument,Taj Mahal,World-famous white marble mausoleum,Oct-Mar,Sightseeing; Photography
Jaipur,Rajasthan,Monument,Amber Fort,Hilltop fort with palaces and views,Oct-Mar,Fort visit; Elephant/jeep ride
Udaipur,Rajasthan,Monument,City Palace,Palatial complex on Lake Pichola,Oct-Mar,Boat ride; Palace tour
Jodhpur,Rajasthan,Monument,Mehrangarh Fort,Massive fort overlooking blue city,Oct-Mar,Fort tour; Museum
Jaisalmer,Rajasthan,Desert,Jaisalmer Fort,Golden sandstone fort in Thar desert,Oct-Mar,Desert safari; Fort visit
Pushkar,Rajasthan,Pilgrimage,Pushkar Lake & Brahma Temple,Holy lake and temple complex,Oct-Mar,Pilgrimage; Camel fair (seasonal)
Ajmer,Rajasthan,Pilgrimage,Ajmer Sharif Dargah,Sufi shrine and pilgrimage site,Oct-Mar,Pilgrimage; Heritage walk
Varanasi,Uttar Pradesh,Pilgrimage,Ganga Ghats & Kashi Vishwanath,Ancient spiritual city on the Ganges,Oct-Mar,Ganga aarti; Boat rides
Lucknow,Uttar Pradesh,Monument,Bara Imambara,Historic complex with central hall,Oct-Mar,Heritage walk; Food tasting
Kanpur,Uttar Pradesh,City,Nana Rao Park & Allen Forest Zoo,Urban park and zoo,Oct-Mar,Park visit; Zoo
Prayagraj,Uttar Pradesh,Pilgrimage,Triveni Sangam,"Confluence of three rivers, Kumbh site",Oct-Mar,Pilgrimage; Boat rides
Gorakhpur,Uttar Pradesh,Pilgrimage,Buddha Park & Gorakhnath Temple,Religious sites and parks,Oct-Mar,Temple visit; Pilgrimage
Kanpur,Uttar Pradesh,Monument,Green Park Stadium,Cricket stadium and events venue,Oct-Mar,Sports events; Tours
Kolkata,West Bengal,Monument,Victoria Memorial,White marble memorial and museum,Oct-Mar,Museum visit; Garden walk
Darjeeling,West Bengal,Hill Station,Tiger Hill & Tea Gardens,Scenic Himalayan views and tea estates,Feb-Apr & Sep-Dec,Toy train; Tea estate tours
Siliguri,West Bengal,Gateway,Coronation Bridge & Markets,Transport hub to northeast,Oct-Mar,Markets; Sightseeing
Kolkata,West Bengal,Cultural,Howrah Bridge & Dakshineswar,Iconic bridge and temple,Oct-Mar,Riverfront; Temple visit
Chennai,Tamil Nadu,Beach/Monument,Marina Beach & Kapaleeshwarar Temple,Long urban beach and historic temple,Nov-Feb,Beach walk; Temple visit
Madurai,Tamil Nadu,Pilgrimage,Meenakshi Amman Temple,Grand Dravidian temple complex,Oct-Mar,Temple rituals; Architecture viewing
Tiruchirappalli,Tamil Nadu,Monument,Rock Fort Temple,Historic fort and temple on rock outcrop,Oct-Mar,Temple visit; City views
Pondicherry,Puducherry,Beach/Cultural,Promenade & French Quarter,Colonial architecture and beaches,Nov-Feb,Cafe hopping; Beach walk
Mahabalipuram,Tamil Nadu,Monument,Shore Temples & Krishna's Butterball,UNESCO rock-cut temples by the sea,Oct-Mar,Sightseeing; Photography
Coimbatore,Tamil Nadu,Gateway,Marudamalai Temple & Textile hubs,Industrial city near Western Ghats,Sep-Mar,Temple visit; Shopping
Ooty,Tamil Nadu,Hill Station,Nilgiri Hills & Ooty Lake,Scenic hill station with botanical gardens,Sep-May,Boating; Trekking
Kodaikanal,Tamil Nadu,Hill Station,Kodaikanal Lake & Pillar Rocks,Popular hill resort with lakes and viewpoints,Oct-Mar,Boating; Nature walks
Bengaluru,Karnataka,City,Lalbagh Garden & Bangalore Palace,Garden city and IT hub,Oct-Mar,Park visit; Nightlife
Mysore,Karnataka,Monument,Mysore Palace,Royal palace with evening light show,Oct-Mar,Palace tour; Cultural shows
Coorg (Kodagu),Karnataka,Hill Station,Coffee Plantations & Abbey Falls,Hilly district known for coffee and greenery,Oct-Mar,Trekking; Coffee tours
Mangalore,Karnataka,Beach,Panambur Beach,Coastal city beach and port,Oct-Mar,Beach walk; Seafood
Udupi,Karnataka,Pilgrimage/Beach,Sri Krishna Temple & Malpe Beach,Famous Krishna temple & nearby beach,Oct-Mar,Temple visit; Beach activities
Goa,Goa,Beach,Calangute Beach,One of Goa's most visited beaches,Nov-Feb,Water sports; Nightlife
Goa,Goa,Monument,Basilica of Bom Jesus,UNESCO baroque church with relics of St. Francis Xavier,Nov-Feb,Heritage visit; Church tours
Panjim,Goa,Cultural,Fontainhas (Latin Quarter),Portuguese-influenced neighborhood with colorful houses,Nov-Feb,Walking tours; Cafes
Pune,Maharashtra,Historical,Shaniwar Wada,18th-century fortification and ruins,Oct-Mar,Heritage walk; Museum
Pune,Maharashtra,Gateway,Sinhagad Fort,Historic fort popular for trekking,Oct-Mar,Trekking; Paragliding nearby
Ahmednagar,Maharashtra,Historical,Ahmednagar Fort & Tombs,Historic fort with heritage sites,Oct-Mar,Heritage sightseeing
Mahabaleshwar,Maharashtra,Hill Station,Venna Lake & Arthur's Seat,Hill station with viewpoints and lakes,Oct-Mar,Boating; Viewpoints
Aurangabad,Maharashtra,Monument,Ajanta & Ellora Caves (nearby),Rock-cut cave monuments and paintings,Oct-Mar,Cave tours; Archaeology
Nashik,Maharashtra,Pilgrimage/Wine,Trimbakeshwar Temple & Vineyards,Pilgrimage site and emerging wine region,Oct-Mar,Temple visit; Wine tours
Nagpur,Maharashtra,City,Deekshabhoomi & Seminary Hills,Cultural and administrative center,Oct-Mar,Sightseeing; Nature walks
