,Operator,Departure Time,Travel Duration,Arrival Time,price,Bus Type,Seats Left,Window Seats,rating,Source,Destination,distance
0,Laxmi holidays,2024-11-07 04:00:00,02hrs 45mins,2024-11-07 06:45:00,1330,Bharat Benz A/C Sleeper (2+1),16,9,5.0,Agra,Delhi,240
1,Tiwari Tour and Travels,2024-11-07 02:06:00,03hrs 40mins,2024-11-07 05:46:00,2499,A/C Sleeper (2+1),26,11,5.0,Agra,Delhi,240
3,IntrCity SmartBus,2024-11-07 03:45:00,03hrs 25mins,2024-11-07 07:10:00,1489,A/C Semi Sleeper / Sleeper (2+1),13,9,5.0,Agra,Delhi,240
4,NueGo,2024-11-07 21:00:00,04hrs 45mins,2024-11-07 01:45:00,474,Electric A/C Seater (2+2),44,20,4.4,Agra,Delhi,240
6,IntrCity SmartBus,2024-11-07 01:15:00,02hrs 25mins,2024-11-07 03:40:00,1619,A/C Seater / Sleeper (2+1),10,4,5.0,Agra,Delhi,240
8,NueGo,2024-11-07 22:00:00,04hrs 45mins,2024-11-07 02:45:00,474,Electric A/C Seater (2+2),41,19,4.3,Agra,Delhi,240
11,Ashok Travels Mandsaur Group,2024-11-07 08:00:00,03hrs 00mins,2024-11-07 11:00:00,1800,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21,8,4.7,Agra,Delhi,240
13,Raj Kalpana Travels Pvt.ltd.,2024-11-07 17:30:00,03hrs 30mins,2024-11-07 21:00:00,969,Bharat Benz A/C Seater /Sleeper (2+1),34,18,4.3,Agra,Delhi,240
14,NueGo,2024-11-07 23:55:00,04hrs 45mins,2024-11-07 04:40:00,474,Electric A/C Seater (2+2),40,19,4.1,Agra,Delhi,240
15,Raj Kalpana Travels Pvt.ltd.,2024-11-07 18:35:00,03hrs 15mins,2024-11-07 21:50:00,2499,VE A/C Seater (2+2),36,15,4.4,Agra,Delhi,240
16,RS YADAV SMART BUS,2024-11-07 03:11:00,03hrs 39mins,2024-11-07 06:50:00,1499,A/C Seater / Sleeper (2+1),34,17,4.3,Agra,Delhi,240
